id;name;url;regular_price;promo_price;brand
235406;Сыр Oldenburger Чеддер красный полутвердый 45%, ~3кг;https://online.metro-cc.ru/products/syr-chedder-oldenburger-krasnyy-45-3kg;879.0;679.0;OLDENBURGER
19688;Сыр Galbani Моцарелла 45%, 125г;https://online.metro-cc.ru/products/mocarella-galbani-125g-bzmzh;199.0;159.0;GALBANI
359435;Сыр President Брынза 45%, 250г;https://online.metro-cc.ru/products/president-48-250g-bzmzh;299.0;;PRESIDENT
247655;Сыр Радость вкуса легкий полутвердый 35%, 180г;https://online.metro-cc.ru/products/180g-syr-legkiy-35-radost-vkusa-bzmzh;193.0;169.0;РАДОСТЬ ВКУСА
136097;Сыр Dziugas Пармезан 2 месяца выдержки 40%, 200г;https://online.metro-cc.ru/products/syr-dziugas-parmezan-2-mesyatsa-vyderzhki-40-200g;449.0;469.0;DZIUGAS
657075;Сыр Cheezi Terra del Gusto Горгонзола с голубой плесенью 60%, 100г;https://online.metro-cc.ru/products/cheezzi-terra-del-gusto-gorgonzola-s-goluboj-60-100g-bzmzh;297.0;269.0;CHEEZI
43860;Сыр Киприно Молочный полутвердый 50%, ~1кг;https://online.metro-cc.ru/products/molochnyj-kiprino-50-1kg-bzmzh;1.029;879.0;КИПРИНО
63737;Сыр Киприно Пармезан твердый 34%, ~1кг;https://online.metro-cc.ru/products/kiprino-parmezan-bez-zamenitelya-molochnyh-zhirov-2-kg;1.579;;КИПРИНО
225494;Сыр Natura selection Matured Havarti выдержанный твердый нарезка 45%, 150г;https://online.metro-cc.ru/products/150g-syr-havarti-45-natura-selection-vyderzh-nar-bzmzh;264.0;199.0;NATURA SELECTION
204105;Сыр Laplandia Сливочный тертый полутвердый 45%, 150г;https://online.metro-cc.ru/products/150g-syr-45-laplandia-slivochnyy-tertyy-bzmzh;219.0;;LAPLANDIA
132378;Сыр плавленый Карат Дружба 45%, 90г;https://online.metro-cc.ru/products/syr-plavlennyy-45-karat-druzhba-brusok-400g-bzmzh;52.0;;КАРАТ
111786;METRO Chef Сыр Маскарпоне 80%, 250г;https://online.metro-cc.ru/products/metro-chef-maskorpone-80-250g;272.0;287.0;METRO CHEF
134942;Сыр Hochland Фетакса без рассола 45%, 400г;https://online.metro-cc.ru/products/plavlennyj-hochland-fetaksa-45-400g-bzmzh;329.0;;HOCHLAND
125719;Сыр Unagrande Моцарелла для пиццы 45%, 460г;https://online.metro-cc.ru/products/460g-mocarella-unagrande-d-piccy-bzmzh;579.0;;UNAGRANDE
215909;Сыр Natura Сливочный полутвердый нарезка 45%, 150г;https://online.metro-cc.ru/products/150g-syr-slivochnyy-45-natura-narezka-bzmzh;206.0;211.0;NATURA
522268;Сыр плавленый Viola сливочный 50%, 400г;https://online.metro-cc.ru/products/valio-viola-400-g-bzmzh;339.0;249.0;VIOLA
528176;Сыр Vitalat Perlini копченый 40%, 100г;https://online.metro-cc.ru/products/vitalat-perlini-kopchenyj-40-100g-bzmzh;163.0;172.0;VITALAT
61548;Сыр President Бри мягкий 60%, 125г;https://online.metro-cc.ru/products/art-61548;349.0;339.0;PRESIDENT
207486;Тофу Сельский дом классический, 250г;https://online.metro-cc.ru/products/250g-tofu-selskiy-dom-klassicheskiy;120.0;127.0;СЕЛЬСКИЙ ДОМ
211806;Сыр Умалат сулугуни 45%, 200г;https://online.metro-cc.ru/products/200g-syr-suluguni-45-umalat-bzmzh;234.0;209.0;УМАЛАТ
119947;METRO Chef Сыр Эдам 40%, 500г;https://online.metro-cc.ru/products/500g-40-edam-metro-chef-kusok-bzmzh;529.0;;METRO CHEF
